drug_id,entrez_id,tas,name,symbol
HMSL10001,4485,10,Seliciclib,MST1
HMSL10001,4486,10,Seliciclib,MST1R
HMSL10001,4593,10,Seliciclib,MUSK
HMSL10001,4638,10,Seliciclib,MYLK
HMSL10001,4661,10,Seliciclib,MYT1
HMSL10001,4750,10,Seliciclib,NEK1
HMSL10001,4751,10,Seliciclib,NEK2
HMSL10001,4752,10,Seliciclib,NEK3
HMSL10001,4914,10,Seliciclib,NTRK1
HMSL10001,4915,10,Seliciclib,NTRK2
HMSL10001,4916,10,Seliciclib,NTRK3
HMSL10001,4921,10,Seliciclib,DDR2
HMSL10001,5058,10,Seliciclib,PAK1
HMSL10001,5062,10,Seliciclib,PAK2
HMSL10001,5063,10,Seliciclib,PAK3
HMSL10001,5127,3,Seliciclib,CDK16
HMSL10001,5128,10,Seliciclib,CDK17
HMSL10001,5129,10,Seliciclib,CDK18
HMSL10001,5156,10,Seliciclib,PDGFRA
HMSL10001,5159,10,Seliciclib,PDGFRB
HMSL10001,5163,10,Seliciclib,PDK1
HMSL10001,5170,10,Seliciclib,PDPK1
HMSL10001,5218,10,Seliciclib,CDK14
HMSL10001,5260,10,Seliciclib,PHKG1
HMSL10001,5261,10,Seliciclib,PHKG2
HMSL10001,5287,10,Seliciclib,PIK3C2B
HMSL10001,5288,10,Seliciclib,PIK3C2G
HMSL10001,5290,10,Seliciclib,PIK3CA
HMSL10001,5291,10,Seliciclib,PIK3CB
HMSL10001,5292,10,Seliciclib,PIM1
HMSL10001,5293,10,Seliciclib,PIK3CD
HMSL10001,5294,10,Seliciclib,PIK3CG
HMSL10001,5310,10,Seliciclib,PKD1
HMSL10001,5311,10,Seliciclib,PKD2
HMSL10001,5347,10,Seliciclib,PLK1
HMSL10001,5562,10,Seliciclib,PRKAA1
HMSL10001,5563,10,Seliciclib,PRKAA2
HMSL10001,5566,10,Seliciclib,PRKACA
HMSL10001,5567,10,Seliciclib,PRKACB
HMSL10001,5568,10,Seliciclib,PRKACG
HMSL10001,5580,10,Seliciclib,PRKCD
HMSL10001,5581,10,Seliciclib,PRKCE
HMSL10001,5583,10,Seliciclib,PRKCH
HMSL10001,5584,10,Seliciclib,PRKCI
HMSL10001,5585,10,Seliciclib,PKN1
HMSL10001,5586,10,Seliciclib,PKN2
HMSL10001,5587,10,Seliciclib,PRKD1
HMSL10001,5588,10,Seliciclib,PRKCQ
HMSL10001,5592,10,Seliciclib,PRKG1
HMSL10001,5593,10,Seliciclib,PRKG2
HMSL10001,5594,10,Seliciclib,MAPK1
HMSL10001,5595,10,Seliciclib,MAPK3
HMSL10001,5596,10,Seliciclib,MAPK4
