symbol,entrez_id
SLC1A3,6507
SLC22A12,116085
SLC27A1,376497
SLC28A2,9153
SLC29A1,2030
SLC2A1,6513
SLC33A1,9197
SLC37A4,2542
SLC40A1,30061
SLC46A1,113235
SLC47A1,55244
SLC5A1,6523
SLC5A2,6524
SLC5A7,60482
SLC6A1,6529
SLC6A11,6538
SLC6A12,6539
SLC6A15,55117
SLC6A2,6530
SLC6A3,6531
SLC6A4,6532
SLC6A5,9152
SLC6A7,6534
SLC6A9,6536
SLC7A11,23657
SLC8A1,6546
SLC9A1,6548
SLCO1B1,10599
SLCO1B3,28234
SLK,9748
SMARCA4,6597
SMO,6608
SMYD2,56950
SNCA,6622
SNRK,54861
SOAT1,6646
SOAT2,8435
SORD,6652
SORT1,6272
SPHK1,8877
SPHK2,56848
SPSB2,84727
SQLE,6713
SRC,6714
SRD5A1,6715
SRD5A2,6716
SRM,6723
SRMS,6725
SRPK1,6732
SRPK2,6733
SRPK3,26576
SSTR1,6751
SSTR2,6752
SSTR3,6753
SSTR4,6754
SSTR5,6755
ST14,6768
ST3GAL1,6482
ST6GAL1,6480
STAT1,6772
STAT3,6774
STAT5A,6776
STAT5B,6777
STAT6,6778
STK10,6793
STK11,6794
STK16,8576
STK17A,9263
STK17B,9262
STK24,8428
STK25,10494
STK26,51765
STK3,6788
STK32A,202374
STK32B,55351
STK32C,282974
STK33,65975
STK35,140901
STK36,27148
STK38,11329
STK38L,23012
STK39,27347
STK4,6789
STS,412
SUV39H1,6839
SUZ12,23512
SYK,6850
TAAR1,134864
TAB1,10454
TACR1,6869
TACR2,6865
TACR3,6870
TAF1,6872
TAOK1,57551
TAOK2,9344
TAOK3,51347
TARS,6897
TAS2R31,259290
TBK1,29110
TBXA2R,6915
TBXAS1,6916
TDO2,6999
TDP1,55775
TDP2,51567
TEC,7006
TEK,7010
TERT,7015
TESK1,7016
TESK2,10420
TGFBR1,7046
TGFBR2,7048
TGM1,7051
TGM2,7052
TH,7054
THRA,7067
THRB,7068
TIE1,7075
TK1,7083
TK2,7084
TKT,7086
TLK1,9874
TLK2,11011
TLR2,7097
TLR4,7099
TLR7,51284
TLR8,51311
TLR9,54106
TMPRSS11D,9407
TMPRSS15,5651
TMPRSS2,7113
TMPRSS6,164656
TNF,7124
TNFRSF10A,8797
TNFRSF1A,7132
TNIK,23043
TNK1,8711
TNK2,10188
TNKS,8658
TNKS2,80351
TNNC1,7134
TNNI3,7137
TNNI3K,51086
TNNT2,7139
TOP1,7150
TOP2A,7153
TOP2B,7155
TP53,7157
TP53BP1,7158
TPH1,7166
TPH2,121278
TPMT,7172
TPSAB1,7177
TPSD1,23430
TPSG1,25823
TRAP1,10131
TRHR,7201
TRPA1,8989
TRPC3,7222
TRPC6,7225
TRPC7,57113
TRPM2,7226
TRPM8,79054
TRPV1,7442
TRPV3,162514
TRPV4,59341
TSG101,7251
TSHR,7253
TSPO,706
TSSK1B,83942
TSSK2,23617
TTK,7272
TTL,150465
TTR,7276
TUBA1A,7846
TUBA1B,10376
TUBA1C,84790
TUBA3D,113457
TUBA3E,112714
TUBA4A,7277
TUBB,203068
TUBB1,81027
TUBB2A,7280
TUBB2B,347733
TUBB3,10381
TUBB4A,10382
TUBB4B,10383
TUBB6,84617
TUBB8,347688
TXK,7294
TXN,7295
TXNRD1,7296
TXNRD2,10587
TXNRD3,114112
TYK2,7297
TYMP,1890
TYMS,7298
TYR,7299
TYRO3,7301
UBA2,10054
UBE2I,7329
UBLCP1,134510
UCHL1,7345
UGCG,7357
UGT2B7,7364
UHRF1,29128
ULK1,8408
ULK2,9706
ULK3,25989
UMPS,7372
UPP1,7378
UQCRB,7381
USP1,7398
USP47,55031
USP7,7874
UTS2R,2837
VARS,7407
VARS2,57176
VCAM1,7412
VCP,7415
VDR,7421
VEGFA,7422
VHL,7428
VIPR1,7433
VIPR2,7434
VRK2,7444
WDR5,11091
WEE1,7465
WEE2,494551
WNK2,65268
WNT3,7473
WRN,7486
XBP1,7494
XDH,7498
XIAP,331
XPNPEP1,7511
XPNPEP2,7512
YARS,8565
YES1,7525
ZAP70,7535
