hmsID_1,hmsID_2,metric,similarity
10001,10001,structural_similarity,1
10001,10001,target_similarity,1
10001,10002,structural_similarity,0.135922330097087
10001,10002,target_similarity,0.228
10001,10003,structural_similarity,0.142857142857143
10001,10003,target_similarity,0.229
10001,10004,structural_similarity,0.122222222222222
10001,10004,target_similarity,0.239
10001,10005,structural_similarity,0.1
10001,10005,target_similarity,0.129
10001,10006,structural_similarity,0.11340206185567
10001,10006,target_similarity,0.202
10001,10008,structural_similarity,0.101010101010101
10001,10008,target_similarity,0.252
10001,10010,structural_similarity,0.132075471698113
10001,10010,target_similarity,0.248
10001,10011,structural_similarity,0.09375
10001,10011,target_similarity,0.277
10001,10012,structural_similarity,0.123711340206186
10001,10012,target_similarity,0.259
10001,10013,structural_similarity,0.138888888888889
10001,10013,target_similarity,0.27
10001,10014,structural_similarity,0.121212121212121
10001,10014,target_similarity,0.271
10001,10015,structural_similarity,0.197916666666667
10001,10015,target_similarity,0.21
10001,10016,structural_similarity,0.17142857142857101
10001,10016,target_similarity,0.238
10001,10017,structural_similarity,0.12280701754386
10001,10017,target_similarity,0.21
10001,10018,structural_similarity,0.12280701754386
10001,10018,target_similarity,0.234
10001,10019,structural_similarity,0.0925925925925926
10001,10019,target_similarity,0.25
10001,10020,structural_similarity,0.147058823529412
10001,10020,target_similarity,0.209
10001,10021,structural_similarity,0.107843137254902
10001,10021,target_similarity,0.252
10001,10023,structural_similarity,0.145631067961165
10001,10023,target_similarity,0.267
10001,10024,structural_similarity,0.145454545454545
10001,10024,target_similarity,0.208
10001,10025,structural_similarity,0.168539325842697
10001,10025,target_similarity,0.286
10001,10026,structural_similarity,0.171717171717172
10001,10026,target_similarity,0.232
10001,10027,structural_similarity,0.118811881188119
10001,10027,target_similarity,0.219
10001,10028,structural_similarity,0.146341463414634
10001,10028,target_similarity,0.29
10001,10029,structural_similarity,0.0714285714285714
10001,10029,target_similarity,0.244
10001,10030,structural_similarity,0.0952380952380952
10001,10030,target_similarity,0.217
10001,10032,structural_similarity,0.1
10001,10032,target_similarity,0.178
10001,10035,structural_similarity,0.154639175257732
10001,10035,target_similarity,0.241
10001,10036,structural_similarity,0.160919540229885
10001,10036,target_similarity,0.295
10001,10037,structural_similarity,0.150442477876106
10001,10037,target_similarity,0.236
10001,10038,structural_similarity,0.1
10001,10038,target_similarity,0.212
10001,10039,structural_similarity,0.104
10001,10039,target_similarity,0.233
10001,10040,structural_similarity,0.117647058823529
10001,10040,target_similarity,0.204
10001,10041,structural_similarity,0.14018691588785
10001,10041,target_similarity,0.269
10001,10042,structural_similarity,0.215909090909091
10001,10042,target_similarity,0.24
10001,10043,structural_similarity,0.138888888888889
10001,10043,target_similarity,0.255
10001,10045,structural_similarity,0.122448979591837
10001,10045,target_similarity,0.225
10001,10046,structural_similarity,0.104761904761905
10001,10046,target_similarity,0.254
10001,10047,structural_similarity,0.104761904761905
10001,10047,target_similarity,0.291
10001,10048,structural_similarity,0.0957446808510638
10001,10048,target_similarity,0.264
10001,10049,structural_similarity,0.115789473684211
10001,10049,target_similarity,0.266
10001,10050,structural_similarity,0.138613861386139
10001,10050,target_similarity,0.23
10001,10051,structural_similarity,0.105263157894737
10001,10051,target_similarity,0.271
10001,10053,structural_similarity,0.153846153846154
10001,10053,target_similarity,0.224
10001,10055,structural_similarity,0.151515151515152
10001,10055,target_similarity,0.204
10001,10056,structural_similarity,0.178947368421053
10001,10056,target_similarity,0.253
10001,10058,structural_similarity,0.102040816326531
10001,10058,target_similarity,0.24
10001,10059,structural_similarity,0.172043010752688
10001,10059,target_similarity,0.235
10001,10060,structural_similarity,0.168539325842697
10001,10060,target_similarity,0.293
10001,10061,structural_similarity,0.0879120879120879
10001,10061,target_similarity,0.242
10001,10062,structural_similarity,0.19
10001,10062,target_similarity,0.11
10001,10064,structural_similarity,0.147058823529412
10001,10064,target_similarity,0.25
10001,10065,structural_similarity,0.155339805825243
10001,10065,target_similarity,0.222
10001,10066,structural_similarity,0.112244897959184
10001,10066,target_similarity,0.263
10001,10067,structural_similarity,0.138888888888889
10001,10067,target_similarity,0.27
10001,10068,structural_similarity,0.111111111111111
10001,10068,target_similarity,0.24
10001,10069,structural_similarity,0.108910891089109
10001,10069,target_similarity,0.277
10001,10070,structural_similarity,0.12037037037037
10001,10070,target_similarity,0.25
10001,10071,structural_similarity,0.116504854368932
10001,10071,target_similarity,0.299
10001,10072,structural_similarity,0.118181818181818
10001,10072,target_similarity,0.258
10001,10073,structural_similarity,0.129032258064516
10001,10073,target_similarity,0.298
10001,10074,structural_similarity,0.0909090909090909
10001,10074,target_similarity,0.238
10001,10075,structural_similarity,0.16
10001,10075,target_similarity,0.244
10001,10076,structural_similarity,0.122448979591837
10001,10076,target_similarity,0.259
10001,10079,structural_similarity,0.137614678899083
10001,10079,target_similarity,0.222
10001,10080,structural_similarity,0.101010101010101
10001,10080,target_similarity,0.219
10001,10082,structural_similarity,0.142857142857143
10001,10082,target_similarity,0.236
10001,10083,structural_similarity,0.131313131313131
10001,10083,target_similarity,0.259
